word	romanized	frequency	domain	source
दर्ता	darta	935	legal	seed
सिफारिस	sifarish	930	legal	seed
कारबाही	karyabahi	925	legal	seed
निवेदक	nibedak	920	legal	seed
प्रतिनिधि	pratinidhi	915	legal	seed
पत्र	patra	910	legal	seed
सम्झौता	samjhauta	905	legal	seed
मुद्दा	mudda	900	legal	seed
फैसला	faisala	895	legal	seed
प्रमाण	praman	890	legal	seed
कागजात	kagajat	885	legal	seed
वकिल	wakil	880	legal	seed
अदालत	adalat	875	legal	seed
न्याय	nyaya	870	legal	seed
कानुनी	kanuni	865	legal	seed
रिपोर्ट	report	950	office	seed
फारम	form	945	office	seed
फाइल	file	940	office	seed
इमेल	email	935	office	seed
पासपोर्ट	passport	930	office	seed
बैठक	baithak	925	office	seed
पत्राचार	patrachar	920	office	seed
कम्प्युटर	computer	915	office	seed
प्रिन्ट	print	910	office	seed
प्रतिलिपि	pratilipi	905	office	seed
हस्ताक्षर	hastakshar	900	office	seed
मिति	miti	895	office	seed
ठेगाना	thegana	890	office	seed
फोन	phone	885	office	seed
कामदार	kamdar	880	office	seed
प्रबिन	prabin	950	common	seed
निरज	niraj	945	common	seed
भुसाल	bhusal	940	common	seed
श्रेष्ठ	shrestha	935	common	seed
कोइराला	koirala	930	common	seed
गिरी	giri	925	common	seed
खड्का	khadka	920	common	seed
सुमना	sumana	915	common	seed
अशिम	ashim	910	common	seed
सुमन	suman	905	common	seed
सुगम	sugam	900	common	seed
अन्जन	anjan	895	common	seed
सुष्मा	sushma	890	common	seed
रोहन	rohan	885	common	seed
निराजन	nirajan	880	common	seed
कुसुम	kusum	875	common	seed
प्रज्ञा	pragya	870	common	seed
ज्ञान	gyan	865	common	seed
काठमाडौं	kathmandu	950	common	seed
पोखरा	pokhara	945	common	seed
ललितपुर	lalitpur	940	common	seed
भक्तपुर	bhaktapur	935	common	seed
चितवन	chitwan	930	common	seed
विराटनगर	biratnagar	925	common	seed
धरान	dharan	920	common	seed
नेपालगन्ज	nepalgunj	915	common	seed
जनकपुर	janakpur	910	common	seed
बुटवल	butwal	905	common	seed
बनेपा	banepa	900	common	seed
गोरखा	gorkha	895	common	seed
झापा	jhapa	890	common	seed
मोरङ	morang	885	common	seed
कास्की	kaski	880	common	seed
क्षमता	kshamata	950	common	seed
क्षेत्र	kshetra	945	common	seed
विज्ञान	bigyan	940	education	seed
श्रम	shram	935	office	seed
श्रद्धा	shraddha	930	common	seed
शक्ति	shakti	925	common	seed
शास्त्र	shastra	920	education	seed
त्रास	traas	915	common	seed
मन्त्र	mantra	910	common	seed
प्रकाश	prakash	905	common	seed
क्रिया	kriya	900	common	seed
ग्रह	graha	895	common	seed
बिहान	bihan	890	common	seed
साँझ	sanjh	885	common	seed
संघ	sangh	880	government	seed
संख्या	sankhya	875	common	seed
ऋषि	rishi	870	common	seed
ऋण	rin	865	office	seed
